gender,languages_selected,education_level,major_field_of_study,cgpa,current_year,current_semester,experties_major_gpa,experties_suggest_career,student_programming_learned,mind_stress_management,learning_style,student_expectation,preferred_work_environment,work_life_balance,internship_experience,real_world_projects_completed,certifications
female,english,bachelor's degree,information technology,3.14,1,1,3.74,Cloud Engineer,"Azure, GCP, AWS, Docker",moderate,kinesthetic,data scientist,hybrid,average,no,9,azure
female,english,bachelor's degree,cyber security,3.64,3,2,2.87,Cloud Architect,"Scalability, Security, Microservices, Networking",excellent,visual,systems analyst,remote,average,no,1,none
male,sinhala,bachelor's degree,software engineering,2.31,4,1,3.08,Cybersecurity Analyst,"Linux, Firewalls, Python, Networking",excellent,visual,security engineer,onsite,average,no,8,none
male,tamil,bachelor's degree,computer science,3.24,3,1,3.61,Ethical Hacker,"Kali Linux, Metasploit, Python, Nmap",excellent,auditory,security engineer,remote,excellent,yes,7,google
female,"english, sinhala, tamil",bachelor's degree,computer science,2.33,4,1,2.23,Security Engineer,"IAM, Firewalls, Encryption, SIEM",moderate,kinesthetic,data scientist,hybrid,average,yes,4,none
female,"english, sinhala, tamil",bachelor's degree,software engineering,2.94,3,1,3.72,Information Security Analyst,"SIEM, SOC Tools, Networking, Risk Assessment",excellent,auditory,qa engineer,remote,excellent,no,12,google
male,"tamil, english",bachelor's degree,data science,3.95,1,1,2.72,Network Engineer,"TCP/IP, Switching, VPN, Firewalls",excellent,auditory,qa engineer,remote,excellent,yes,0,azure
male,sinhala,bachelor's degree,information technology,2.31,1,1,3.55,System Administrator,"Linux, Networking, Windows Server, Active Directory",excellent,visual,security engineer,hybrid,poor,no,1,cisco
female,"tamil, english",bachelor's degree,cyber security,3.04,2,2,3.78,IT Support Engineer,"Active Directory, Hardware, Troubleshooting, Windows",excellent,auditory,systems analyst,hybrid,average,yes,11,google
male,"tamil, english",bachelor's degree,software engineering,3.55,4,2,3.3,Hardware Engineer,"Microcontrollers, Circuit Design, Electronics, Arduino",low,visual,security engineer,hybrid,excellent,yes,6,azure
male,sinhala,bachelor's degree,cyber security,3.26,4,2,2.73,QA Engineer,"API Testing, Jira, SQL, Test Cases",moderate,kinesthetic,security engineer,hybrid,poor,no,3,aws
male,sinhala,bachelor's degree,computer science,4.0,4,1,3.28,Software Tester,"Selenium, Manual Testing, SQL, Bug Tracking",low,auditory,systems analyst,onsite,excellent,yes,7,azure
male,"english, sinhala, tamil",bachelor's degree,cyber security,3.99,2,2,2.93,Automation Test Engineer,"Python, TestNG, Selenium, Java",moderate,kinesthetic,software engineer,hybrid,average,yes,1,cisco
female,"english, sinhala",bachelor's degree,cyber security,2.44,4,1,2.97,UI Designer,"Figma, Adobe XD, Prototyping, Color Theory",low,kinesthetic,qa engineer,hybrid,average,yes,9,none
female,"tamil, english",bachelor's degree,data science,2.89,3,1,3.94,UX Designer,"Wireframing, Figma, User Research, UX Testing",moderate,kinesthetic,software engineer,onsite,poor,yes,1,google
female,"sinhala, tamil",bachelor's degree,software engineering,3.74,3,1,3.18,Product Designer,"Figma, UX Research, Design Systems, User Flow",low,kinesthetic,software engineer,onsite,excellent,no,1,cisco
female,english,bachelor's degree,software engineering,3.24,3,1,3.22,Blockchain Developer,"Ethereum, Node.js, Web3.js, Smart Contracts",excellent,kinesthetic,security engineer,remote,excellent,no,7,none
female,english,bachelor's degree,cyber security,3.37,1,1,3.09,IoT Engineer,"Raspberry Pi, Cloud Integration, Sensors, MQTT",moderate,visual,systems analyst,onsite,average,yes,2,google
male,"english, sinhala",bachelor's degree,computer science,3.09,4,2,3.97,Embedded Systems Engineer,"RTOS, Electronics, Microcontrollers, PCB Design",low,visual,qa engineer,hybrid,poor,yes,5,cisco
male,"english, sinhala, tamil",bachelor's degree,computer science,2.17,1,1,3.12,AR/VR Developer,"XR SDKs, Unity, C#, Unreal Engine",low,kinesthetic,systems analyst,onsite,average,yes,1,aws
male,sinhala,bachelor's degree,computer science,3.8,4,2,2.63,SEO Specialist,"Content Strategy, Keyword Research, Backlinks, SEO Tools",excellent,visual,systems analyst,remote,excellent,yes,5,aws
female,"tamil, english",bachelor's degree,cyber security,3.62,2,1,2.76,IT Support Specialist,"Hardware, Windows, Networking, Ticketing Systems",excellent,kinesthetic,data scientist,hybrid,poor,no,5,none
male,sinhala,bachelor's degree,data science,4.0,2,1,2.27,Software Engineer,"Java, Python, Spring Boot, SQL",low,kinesthetic,data scientist,onsite,average,no,2,none
male,"english, sinhala",bachelor's degree,software engineering,2.8,1,2,3.27,Full Stack Developer,"React, Express, MongoDB, Node.js",excellent,kinesthetic,software engineer,hybrid,poor,yes,7,cisco
female,"english, sinhala, tamil",bachelor's degree,cyber security,2.7,3,2,2.31,Frontend Developer,"TypeScript, Tailwind CSS, HTML, CSS",low,visual,software engineer,remote,excellent,yes,8,cisco
female,"tamil, english",bachelor's degree,cyber security,3.23,2,1,2.57,Backend Developer,"Node.js, Java, Microservices, Spring Boot",low,auditory,software engineer,onsite,poor,no,7,aws
male,tamil,bachelor's degree,data science,3.05,4,1,3.15,Web Developer,"Bootstrap, HTML, JavaScript, CSS",excellent,auditory,software engineer,hybrid,excellent,yes,11,none
female,sinhala,bachelor's degree,data science,2.8,2,2,3.8,Mobile App Developer,"Java, Kotlin, Swift, REST API",low,auditory,software engineer,remote,poor,no,10,none
male,"english, sinhala",bachelor's degree,information technology,2.42,4,1,3.0,Data Scientist,"Pandas, Python, Tableau, SQL",moderate,kinesthetic,software engineer,remote,poor,no,10,azure
male,"english, sinhala, tamil",bachelor's degree,computer science,3.88,2,2,2.82,Data Analyst,"Power BI, SQL, Statistics, Python",moderate,auditory,systems analyst,hybrid,excellent,no,0,none
male,"tamil, english",bachelor's degree,cyber security,3.31,1,1,3.86,Machine Learning Engineer,"Python, Pandas, Scikit-learn, NumPy",excellent,auditory,qa engineer,hybrid,poor,yes,10,cisco
female,"tamil, english",bachelor's degree,cyber security,2.86,2,1,3.31,AI Engineer,"Python, LLMs, NLP, TensorFlow",excellent,visual,security engineer,hybrid,poor,no,1,cisco
female,sinhala,bachelor's degree,computer science,2.67,3,1,2.47,BI Developer,"DAX, Excel, SQL, Tableau",low,auditory,systems analyst,remote,excellent,no,3,none
female,english,bachelor's degree,software engineering,3.51,4,1,2.39,DevOps Engineer,"CI/CD, Jenkins, Docker, Linux",low,kinesthetic,systems analyst,onsite,excellent,yes,9,google
male,sinhala,bachelor's degree,data science,4.0,4,1,3.49,Cloud Engineer,"Azure, Terraform, AWS, Kubernetes",moderate,auditory,qa engineer,hybrid,average,no,8,none
male,"sinhala, tamil",bachelor's degree,data science,3.67,3,1,2.93,Cloud Architect,"IaC, Security, Scalability, Networking",excellent,auditory,devops engineer,hybrid,average,no,4,none
female,"english, sinhala, tamil",bachelor's degree,data science,3.39,4,2,3.72,Cybersecurity Analyst,"Risk Analysis, Networking, Python, Linux",low,visual,security engineer,hybrid,average,yes,12,none
female,tamil,bachelor's degree,data science,3.07,3,1,3.45,Ethical Hacker,"Kali Linux, Python, Burp Suite, Wireshark",excellent,kinesthetic,software engineer,hybrid,excellent,no,2,cisco
male,"sinhala, tamil",bachelor's degree,computer science,2.57,4,1,3.55,Security Engineer,"Linux, Encryption, IAM, Cloud Security",low,visual,software engineer,onsite,poor,no,1,azure
female,sinhala,bachelor's degree,information technology,2.91,4,1,2.72,Information Security Analyst,"Incident Response, Compliance, Risk Assessment, SIEM",moderate,kinesthetic,systems analyst,hybrid,average,no,1,google
male,"english, sinhala, tamil",bachelor's degree,cyber security,3.0,4,1,3.97,Network Engineer,"Cisco, Switching, Firewalls, Routing",excellent,visual,qa engineer,onsite,poor,yes,0,google
male,"english, sinhala, tamil",bachelor's degree,computer science,3.52,1,1,3.7,System Administrator,"Bash, Networking, Active Directory, Windows Server",excellent,kinesthetic,data scientist,onsite,average,no,1,google
male,"sinhala, tamil",bachelor's degree,cyber security,2.75,3,2,2.71,IT Support Engineer,"Windows, Active Directory, Hardware, Networking",moderate,kinesthetic,devops engineer,remote,excellent,no,2,aws
male,"sinhala, tamil",bachelor's degree,data science,3.73,3,1,3.13,Hardware Engineer,"Arduino, PCB Design, Microcontrollers, Embedded C",moderate,kinesthetic,security engineer,remote,average,no,7,azure
female,english,bachelor's degree,software engineering,4.0,4,1,3.53,QA Engineer,"Selenium, API Testing, SQL, Jira",moderate,auditory,systems analyst,hybrid,excellent,yes,5,none
female,sinhala,bachelor's degree,software engineering,3.08,1,2,3.96,Software Tester,"Agile, Bug Tracking, Manual Testing, SQL",low,auditory,devops engineer,hybrid,poor,yes,5,google
female,"tamil, english",bachelor's degree,software engineering,2.3,3,1,3.61,Automation Test Engineer,"CI/CD, Selenium, Cypress, Java",excellent,visual,data scientist,onsite,excellent,no,0,cisco
male,sinhala,bachelor's degree,information technology,2.66,2,1,3.08,UI Designer,"Color Theory, Figma, Photoshop, UI Principles",excellent,visual,security engineer,onsite,poor,no,10,azure
male,tamil,bachelor's degree,computer science,3.32,2,1,2.49,UX Designer,"Prototyping, User Research, Wireframing, Psychology",low,auditory,qa engineer,onsite,poor,no,0,aws
male,"english, sinhala",bachelor's degree,information technology,3.25,3,1,3.36,Product Designer,"UX Research, User Flow, UI Design, Figma",low,kinesthetic,devops engineer,onsite,average,yes,1,cisco
female,"english, sinhala, tamil",bachelor's degree,data science,2.72,3,1,3.17,Blockchain Developer,"Cryptography, Solidity, Node.js, Ethereum",low,visual,qa engineer,remote,average,no,12,aws
female,"english, sinhala",bachelor's degree,software engineering,2.69,1,2,3.69,IoT Engineer,"Sensors, Cloud Integration, Raspberry Pi, MQTT",excellent,auditory,qa engineer,hybrid,excellent,no,11,aws
female,sinhala,bachelor's degree,software engineering,3.28,1,2,3.22,Embedded Systems Engineer,"RTOS, PCB Design, C/C++, Electronics",excellent,auditory,qa engineer,hybrid,poor,yes,2,aws
male,english,bachelor's degree,data science,3.22,4,2,3.65,AR/VR Developer,"Unity, Unreal Engine, Blender, XR SDKs",low,auditory,software engineer,hybrid,average,no,8,azure
female,english,bachelor's degree,computer science,3.7,2,1,2.83,SEO Specialist,"Keyword Research, SEO Tools, HTML, Content Strategy",moderate,auditory,devops engineer,remote,excellent,yes,12,none
male,english,bachelor's degree,computer science,2.1,2,2,3.98,IT Support Specialist,"Ticketing Systems, Active Directory, Troubleshooting, Windows",excellent,kinesthetic,devops engineer,hybrid,average,yes,12,cisco
male,"tamil, english",bachelor's degree,computer science,3.59,2,2,3.78,Software Engineer,"Python, Git, SQL, Java",excellent,auditory,security engineer,onsite,average,yes,0,google
male,"english, sinhala, tamil",bachelor's degree,data science,3.01,2,1,3.36,Full Stack Developer,"REST API, Node.js, JavaScript, MongoDB",excellent,auditory,systems analyst,hybrid,poor,yes,0,azure
male,sinhala,bachelor's degree,software engineering,3.82,1,2,2.33,Frontend Developer,"Tailwind CSS, CSS, HTML, React",low,auditory,devops engineer,remote,average,yes,11,aws
female,sinhala,bachelor's degree,computer science,2.95,4,1,3.18,Backend Developer,"Microservices, Spring Boot, Java, Node.js",low,kinesthetic,devops engineer,hybrid,poor,yes,7,cisco
male,english,bachelor's degree,data science,3.7,2,1,3.18,Web Developer,"PHP, MySQL, Bootstrap, CSS",low,kinesthetic,software engineer,onsite,poor,no,7,google
female,"english, sinhala, tamil",bachelor's degree,cyber security,3.74,1,1,2.48,Mobile App Developer,"Flutter, Firebase, Swift, REST API",low,auditory,software engineer,remote,excellent,yes,7,google
female,sinhala,bachelor's degree,software engineering,3.02,1,1,3.69,Data Scientist,"NumPy, SQL, Python, Pandas",low,kinesthetic,security engineer,remote,average,no,4,none
male,english,bachelor's degree,information technology,2.0,1,1,3.37,Data Analyst,"Data Visualization, Power BI, Python, SQL",excellent,kinesthetic,data scientist,remote,poor,yes,10,cisco
male,sinhala,bachelor's degree,information technology,2.63,1,1,3.25,Machine Learning Engineer,"Python, Deep Learning, Scikit-learn, TensorFlow",excellent,visual,devops engineer,onsite,excellent,yes,4,none
male,"english, sinhala, tamil",bachelor's degree,information technology,3.13,2,1,3.32,AI Engineer,"PyTorch, LLMs, NLP, Python",excellent,kinesthetic,devops engineer,remote,average,no,7,cisco
male,"sinhala, tamil",bachelor's degree,data science,3.18,3,2,3.88,BI Developer,"Power BI, ETL Tools, DAX, SQL",excellent,auditory,devops engineer,onsite,poor,yes,10,cisco
male,"sinhala, tamil",bachelor's degree,computer science,3.45,1,2,2.62,DevOps Engineer,"AWS, Jenkins, Kubernetes, Linux",low,kinesthetic,software engineer,hybrid,average,yes,9,cisco
female,"english, sinhala",bachelor's degree,data science,3.88,4,2,3.28,Cloud Engineer,"Azure, GCP, Terraform, Docker",excellent,kinesthetic,systems analyst,hybrid,average,yes,11,google
female,sinhala,bachelor's degree,data science,3.91,1,2,3.52,Cloud Architect,"AWS/Azure Design, Microservices, Networking, IaC",excellent,auditory,data scientist,onsite,excellent,yes,5,none
female,tamil,bachelor's degree,software engineering,3.16,4,1,2.25,Cybersecurity Analyst,"Firewalls, Linux, Python, Networking",low,kinesthetic,qa engineer,hybrid,excellent,no,11,aws
female,"sinhala, tamil",bachelor's degree,data science,3.6,3,2,2.27,Ethical Hacker,"Metasploit, Kali Linux, Nmap, Python",excellent,auditory,qa engineer,onsite,excellent,no,11,cisco
male,"sinhala, tamil",bachelor's degree,software engineering,2.65,4,2,2.23,Security Engineer,"Linux, Cloud Security, IAM, Encryption",moderate,auditory,qa engineer,onsite,average,no,12,none
female,"sinhala, tamil",bachelor's degree,cyber security,3.35,4,2,2.93,Information Security Analyst,"SOC Tools, Risk Assessment, Compliance, Networking",moderate,auditory,systems analyst,hybrid,excellent,no,10,aws
male,tamil,bachelor's degree,cyber security,3.65,4,1,2.82,Network Engineer,"TCP/IP, Routing, Switching, VPN",excellent,auditory,data scientist,onsite,excellent,yes,1,none
female,"english, sinhala, tamil",bachelor's degree,information technology,2.21,2,1,3.94,System Administrator,"Bash, Windows Server, Networking, Linux",low,auditory,devops engineer,onsite,excellent,yes,6,none
male,"english, sinhala, tamil",bachelor's degree,data science,3.07,1,1,3.35,IT Support Engineer,"Troubleshooting, Hardware, Networking, Windows",low,auditory,qa engineer,remote,poor,yes,9,google
male,"tamil, english",bachelor's degree,cyber security,3.4,2,2,2.66,Hardware Engineer,"Circuit Design, PCB Design, Embedded C, Electronics",excellent,auditory,software engineer,remote,poor,yes,9,aws
male,sinhala,bachelor's degree,cyber security,3.33,4,1,3.51,QA Engineer,"Jira, Test Cases, API Testing, SQL",moderate,auditory,security engineer,onsite,average,no,0,google
male,"sinhala, tamil",bachelor's degree,information technology,2.85,2,2,2.98,Software Tester,"SQL, Bug Tracking, Manual Testing, Selenium",low,auditory,systems analyst,onsite,poor,no,9,none
female,"english, sinhala, tamil",bachelor's degree,cyber security,2.31,1,1,2.88,Automation Test Engineer,"Cypress, Selenium, CI/CD, TestNG",excellent,auditory,data scientist,onsite,average,no,4,cisco
male,"english, sinhala",bachelor's degree,cyber security,2.47,2,1,2.85,UI Designer,"Photoshop, Adobe XD, Figma, Prototyping",excellent,visual,security engineer,remote,excellent,no,7,cisco
female,"english, sinhala, tamil",bachelor's degree,software engineering,3.31,3,1,2.41,UX Designer,"Wireframing, Figma, UX Testing, User Research",low,kinesthetic,systems analyst,hybrid,excellent,yes,11,none
female,"english, sinhala",bachelor's degree,information technology,2.7,1,2,2.41,Product Designer,"Design Systems, UI Design, Prototyping, User Flow",moderate,visual,systems analyst,onsite,excellent,no,9,none
female,english,bachelor's degree,data science,3.55,3,2,3.45,Blockchain Developer,"Ethereum, Solidity, Smart Contracts, Node.js",low,auditory,security engineer,onsite,poor,no,3,cisco
male,"english, sinhala",bachelor's degree,cyber security,3.34,2,1,2.38,IoT Engineer,"Arduino, C/C++, MQTT, Cloud Integration",excellent,kinesthetic,devops engineer,hybrid,excellent,no,10,cisco
female,sinhala,bachelor's degree,information technology,2.56,1,2,3.4,Embedded Systems Engineer,"Electronics, IoT, RTOS, PCB Design",excellent,auditory,data scientist,onsite,excellent,no,9,aws
female,tamil,bachelor's degree,computer science,2.4,3,2,2.71,AR/VR Developer,"XR SDKs, Blender, Unreal Engine, C#",excellent,visual,security engineer,remote,poor,yes,0,google
male,english,bachelor's degree,software engineering,3.68,2,1,2.28,SEO Specialist,"Keyword Research, Google Analytics, SEO Tools, Content Strategy",moderate,visual,devops engineer,hybrid,poor,yes,10,aws
male,"english, sinhala",bachelor's degree,data science,2.91,3,2,2.32,IT Support Specialist,"Hardware, Ticketing Systems, Active Directory, Troubleshooting",moderate,auditory,security engineer,hybrid,excellent,yes,0,aws
male,"sinhala, tamil",bachelor's degree,computer science,3.2,1,1,2.72,Software Engineer,"OOP, Python, Git, SQL",moderate,visual,qa engineer,hybrid,excellent,yes,0,google
female,"english, sinhala",bachelor's degree,software engineering,2.67,1,2,2.72,Full Stack Developer,"JavaScript, REST API, React, Express",excellent,visual,data scientist,hybrid,average,yes,10,azure
male,"english, sinhala",bachelor's degree,computer science,3.75,4,1,2.25,Frontend Developer,"TypeScript, CSS, JavaScript, HTML",moderate,kinesthetic,devops engineer,remote,average,yes,6,google
female,"tamil, english",bachelor's degree,cyber security,3.9,3,1,3.22,Backend Developer,"SQL, Node.js, REST API, Java",low,auditory,software engineer,hybrid,average,yes,2,aws
male,sinhala,bachelor's degree,software engineering,3.66,4,1,2.24,Web Developer,"MySQL, HTML, Bootstrap, JavaScript",low,visual,software engineer,onsite,average,yes,11,azure
male,tamil,bachelor's degree,data science,3.65,4,2,3.81,Mobile App Developer,"Swift, Kotlin, Java, Firebase",low,auditory,devops engineer,onsite,excellent,yes,6,google
male,"english, sinhala, tamil",bachelor's degree,software engineering,2.71,2,1,2.37,Data Scientist,"NumPy, Machine Learning, Pandas, Python",low,kinesthetic,software engineer,remote,poor,yes,12,none
male,sinhala,bachelor's degree,software engineering,3.05,1,1,2.63,Data Analyst,"Excel, Python, SQL, Data Visualization",moderate,auditory,systems analyst,remote,average,yes,7,aws
male,sinhala,bachelor's degree,data science,2.72,1,1,2.65,Machine Learning Engineer,"Deep Learning, Pandas, NumPy, Scikit-learn",excellent,kinesthetic,software engineer,hybrid,average,yes,8,google
female,"english, sinhala",bachelor's degree,software engineering,3.49,4,2,3.75,AI Engineer,"LLMs, NLP, TensorFlow, PyTorch",low,visual,data scientist,hybrid,average,yes,4,none
male,tamil,bachelor's degree,cyber security,3.69,4,1,3.18,BI Developer,"ETL Tools, SQL, DAX, Tableau",moderate,visual,qa engineer,hybrid,average,yes,9,none
male,"sinhala, tamil",bachelor's degree,information technology,2.22,4,2,3.06,DevOps Engineer,"CI/CD, Jenkins, Kubernetes, AWS",low,kinesthetic,software engineer,hybrid,poor,no,6,aws
male,"tamil, english",bachelor's degree,computer science,2.95,4,2,2.4,Cloud Engineer,"GCP, Docker, Terraform, Kubernetes",moderate,kinesthetic,devops engineer,onsite,average,yes,3,azure
male,tamil,bachelor's degree,cyber security,3.69,3,2,3.19,Cloud Architect,"Security, Microservices, IaC, AWS/Azure Design",moderate,kinesthetic,devops engineer,hybrid,excellent,yes,1,azure
male,"tamil, english",bachelor's degree,cyber security,2.15,4,1,2.54,Cybersecurity Analyst,"SIEM, Python, Linux, Networking",low,kinesthetic,security engineer,onsite,excellent,no,11,google
female,"tamil, english",bachelor's degree,software engineering,3.02,1,1,3.06,Ethical Hacker,"Python, Nmap, Burp Suite, Kali Linux",excellent,kinesthetic,software engineer,hybrid,average,yes,4,cisco
female,english,bachelor's degree,data science,2.57,4,2,3.38,Security Engineer,"Encryption, Firewalls, IAM, Linux",moderate,kinesthetic,data scientist,hybrid,poor,no,12,azure
female,"tamil, english",bachelor's degree,information technology,3.6,1,1,3.84,Information Security Analyst,"Risk Assessment, Incident Response, Compliance, Networking",excellent,auditory,security engineer,remote,excellent,no,4,azure
male,sinhala,bachelor's degree,computer science,3.2,3,1,3.71,Network Engineer,"Cisco, Switching, VPN, Routing",low,visual,devops engineer,hybrid,excellent,no,1,aws
male,"tamil, english",bachelor's degree,computer science,2.49,1,1,3.7,System Administrator,"Bash, Active Directory, Networking, Linux",low,kinesthetic,security engineer,onsite,poor,no,12,none
male,english,bachelor's degree,software engineering,3.49,2,2,3.17,IT Support Engineer,"Hardware, Windows, Networking, Ticketing Tools",excellent,visual,qa engineer,hybrid,excellent,no,1,none
male,"sinhala, tamil",bachelor's degree,data science,2.7,2,1,3.56,Hardware Engineer,"Circuit Design, Arduino, Embedded C, Microcontrollers",excellent,visual,systems analyst,hybrid,poor,yes,12,none
female,english,bachelor's degree,cyber security,2.56,1,2,2.23,QA Engineer,"Manual Testing, SQL, Selenium, API Testing",moderate,visual,qa engineer,onsite,average,yes,0,aws
male,"sinhala, tamil",bachelor's degree,data science,2.48,4,2,3.98,Software Tester,"SQL, Agile, Selenium, Test Plans",low,kinesthetic,security engineer,hybrid,average,yes,0,none
male,english,bachelor's degree,computer science,2.84,1,2,2.92,Automation Test Engineer,"Cypress, TestNG, CI/CD, Python",low,kinesthetic,security engineer,remote,excellent,yes,4,google
male,"tamil, english",bachelor's degree,computer science,3.03,3,2,2.53,UI Designer,"UI Principles, Adobe XD, Figma, Color Theory",excellent,visual,qa engineer,remote,excellent,no,11,google
male,"english, sinhala",bachelor's degree,software engineering,2.79,4,2,2.33,UX Designer,"Wireframing, Figma, Psychology, User Research",moderate,auditory,systems analyst,hybrid,poor,no,11,azure
female,"english, sinhala, tamil",bachelor's degree,information technology,3.8,1,1,2.92,Product Designer,"Prototyping, Figma, UX Research, Design Systems",low,kinesthetic,devops engineer,hybrid,excellent,no,10,azure
female,"tamil, english",bachelor's degree,software engineering,3.42,2,2,3.25,Blockchain Developer,"Web3.js, Solidity, Ethereum, Cryptography",excellent,visual,data scientist,remote,average,no,11,azure
male,"sinhala, tamil",bachelor's degree,software engineering,3.21,1,1,3.53,IoT Engineer,"Sensors, C/C++, Raspberry Pi, Arduino",moderate,visual,systems analyst,hybrid,excellent,no,12,cisco
female,sinhala,bachelor's degree,software engineering,3.87,3,2,2.82,Embedded Systems Engineer,"IoT, Microcontrollers, C/C++, PCB Design",moderate,visual,software engineer,hybrid,excellent,yes,2,azure
male,"english, sinhala",bachelor's degree,data science,3.29,2,1,2.66,AR/VR Developer,"3D Modeling, Unreal Engine, C#, XR SDKs",moderate,visual,devops engineer,remote,average,yes,9,none
female,"tamil, english",bachelor's degree,cyber security,3.97,2,1,2.67,SEO Specialist,"Google Analytics, HTML, Backlinks, SEO Tools",low,auditory,qa engineer,hybrid,poor,yes,12,cisco
female,tamil,bachelor's degree,software engineering,2.77,4,1,2.27,IT Support Specialist,"Hardware, Troubleshooting, Active Directory, Ticketing Systems",excellent,visual,security engineer,hybrid,poor,no,4,cisco
female,sinhala,bachelor's degree,data science,2.83,2,1,2.63,Software Engineer,"Python, Spring Boot, OOP, Java",moderate,visual,security engineer,onsite,poor,yes,4,google
female,"sinhala, tamil",bachelor's degree,software engineering,3.19,4,1,2.33,Full Stack Developer,"Express, JavaScript, React, Node.js",moderate,visual,systems analyst,remote,excellent,yes,2,azure
male,english,bachelor's degree,software engineering,4.0,3,1,2.28,Frontend Developer,"Tailwind CSS, HTML, JavaScript, React",moderate,kinesthetic,data scientist,onsite,excellent,yes,4,google
male,english,bachelor's degree,information technology,4.0,1,1,2.98,Backend Developer,"Node.js, Java, SQL, Spring Boot",low,kinesthetic,data scientist,remote,excellent,yes,0,none
male,"english, sinhala",bachelor's degree,data science,2.73,1,2,2.75,Web Developer,"JavaScript, HTML, MySQL, CSS",excellent,kinesthetic,security engineer,remote,poor,yes,7,aws
male,"english, sinhala, tamil",bachelor's degree,computer science,3.76,2,2,2.22,Mobile App Developer,"Firebase, Kotlin, Flutter, Java",moderate,auditory,qa engineer,remote,poor,no,10,aws
female,"english, sinhala",bachelor's degree,computer science,2.22,2,1,3.92,Data Scientist,"Python, NumPy, Machine Learning, Tableau",excellent,auditory,software engineer,hybrid,poor,yes,5,azure
female,english,bachelor's degree,information technology,3.09,2,2,2.74,Data Analyst,"SQL, Data Visualization, Power BI, Statistics",moderate,visual,data scientist,onsite,excellent,no,12,google
male,sinhala,bachelor's degree,information technology,3.7,3,1,2.2,Machine Learning Engineer,"Deep Learning, NumPy, TensorFlow, Python",moderate,auditory,devops engineer,remote,average,yes,6,cisco
female,"english, sinhala, tamil",bachelor's degree,information technology,3.36,4,1,3.07,AI Engineer,"Data Processing, NLP, LLMs, Python",moderate,visual,security engineer,hybrid,poor,yes,8,google
male,english,bachelor's degree,data science,3.45,2,1,3.34,BI Developer,"Tableau, Excel, ETL Tools, SQL",moderate,visual,software engineer,remote,average,yes,1,azure
male,"english, sinhala",bachelor's degree,software engineering,3.63,3,2,3.22,DevOps Engineer,"Kubernetes, Docker, CI/CD, AWS",excellent,visual,software engineer,onsite,average,yes,7,cisco
female,sinhala,bachelor's degree,software engineering,2.01,3,1,2.72,Cloud Engineer,"AWS, Kubernetes, Terraform, Docker",excellent,kinesthetic,data scientist,onsite,excellent,no,0,aws
male,sinhala,bachelor's degree,cyber security,3.26,2,2,2.54,Cloud Architect,"Security, Microservices, IaC, Scalability",low,kinesthetic,software engineer,remote,poor,no,1,azure
female,"sinhala, tamil",bachelor's degree,computer science,3.17,3,2,3.76,Cybersecurity Analyst,"Risk Analysis, Firewalls, SIEM, Python",low,visual,data scientist,remote,excellent,yes,4,aws
male,sinhala,bachelor's degree,information technology,2.86,1,2,2.99,Ethical Hacker,"Burp Suite, Kali Linux, Python, Wireshark",low,visual,devops engineer,hybrid,poor,no,9,azure
female,"english, sinhala, tamil",bachelor's degree,information technology,3.59,1,1,2.63,Security Engineer,"SIEM, Linux, Firewalls, Encryption",excellent,kinesthetic,software engineer,remote,average,yes,4,azure
male,english,bachelor's degree,information technology,2.28,3,2,2.27,Information Security Analyst,"Risk Assessment, SIEM, SOC Tools, Incident Response",low,visual,devops engineer,onsite,average,no,10,google
female,"english, sinhala, tamil",bachelor's degree,information technology,2.8,4,2,3.27,Network Engineer,"Switching, Routing, VPN, Firewalls",excellent,auditory,qa engineer,onsite,average,yes,5,google
male,"sinhala, tamil",bachelor's degree,cyber security,2.67,4,2,3.74,System Administrator,"Active Directory, Windows Server, Virtualization, Networking",excellent,kinesthetic,systems analyst,onsite,poor,yes,7,azure
female,"english, sinhala, tamil",bachelor's degree,computer science,2.84,1,2,2.31,IT Support Engineer,"Ticketing Tools, Hardware, Troubleshooting, Networking",moderate,visual,qa engineer,hybrid,average,no,4,google
female,english,bachelor's degree,data science,2.19,4,1,2.48,Hardware Engineer,"Arduino, Microcontrollers, Circuit Design, PCB Design",moderate,visual,qa engineer,hybrid,poor,yes,6,aws
male,"english, sinhala",bachelor's degree,data science,3.52,3,2,3.42,QA Engineer,"API Testing, Manual Testing, Selenium, Test Cases",low,auditory,devops engineer,hybrid,excellent,yes,1,none
female,"english, sinhala",bachelor's degree,information technology,3.46,2,2,2.77,Software Tester,"Manual Testing, Selenium, Bug Tracking, SQL",excellent,auditory,qa engineer,hybrid,poor,no,0,cisco
male,english,bachelor's degree,computer science,3.93,4,2,3.76,Automation Test Engineer,"Python, Cypress, CI/CD, Selenium",moderate,auditory,qa engineer,remote,average,yes,11,none
male,sinhala,bachelor's degree,data science,2.51,2,2,3.44,UI Designer,"UI Principles, Color Theory, Adobe XD, Prototyping",excellent,kinesthetic,devops engineer,remote,excellent,yes,7,cisco
female,sinhala,bachelor's degree,information technology,2.89,4,1,3.67,UX Designer,"UX Testing, User Research, Psychology, Figma",excellent,auditory,data scientist,remote,excellent,no,9,aws
female,english,bachelor's degree,computer science,3.74,1,2,4.0,Product Designer,"UX Research, UI Design, Figma, Prototyping",low,auditory,systems analyst,hybrid,average,yes,2,google
