Gender,District_Location,Education_Stream,Soft_Skills,Key_Skils,Current_semester,GPA,Experties_Preferred_GPA,Experties_preferred_tech_skills,Experties_preferred_Skills,Experties_Preferred_Career_Field,English_score,Ocean_Openness,Ocean_Conscientiousness,Ocean_Extraversion,Ocean_Agreeableness,Ocean_Neuroticism,Riasec_Realistic,Riasec_Investigative,Riasec_Artistic,Riasec_Social,Riasec_Enterprising,Riasec_Conventional,Learning_Style,Course_Recommendation,University_Recommendation,Skill_Gap_Score,Feedback_Score,Data_Consent,Timestamp
Male,Polonnaruwa,Technology Stream,"Adaptability, Very Flexible","React.js, Node.js, Express.js, MongoDB, Git",1Y2S,2,3,"React.js, Node.js, Express.js, MongoDB, Git","Adaptability, Very Flexible",Frontend / Web Developer,74,2,3,3,4,4,3,6,1,3,7,4,Visual,,,,,,
Other,Jaffna,Bio Stream,"Critical Thinking, Deep Thinker","Python, Flask, PostgreSQL, Git, Redis",2Y1S,3.5,3.3,"Python, Flask, PostgreSQL, Git, Redis","Critical Thinking, Deep Thinker",Data Science & Analytics,43,4,2,4,2,3,1,8,4,1,6,3,Read/Write,,,,,,
Female,Kilinochchi,Maths Stream,"Emotional Intelligence, Highly Empathetic","Node.js, TypeScript, NestJS, GraphQL, Docker",1Y1S,4.2,3.2,"Node.js, TypeScript, NestJS, GraphQL, Docker","Emotional Intelligence, Highly Empathetic",DevOps / Cloud Engineer,91,1,1,2,3,2,4,3,6,9,4,1,Kinesthetic,,,,,,
Male,Mannar,Commerce Stream,"Problem Solving, Resourceful","React.js, Tailwind CSS, JavaScript, Responsive",2Y2S,1.1,3,"React.js, Tailwind CSS, JavaScript, Responsive ","Problem Solving, Resourceful",Frontend / Web Developer,66,5,4,1,1,1,9,5,3,4,1,6,Visual,,,,,,
Female,Vavuniya,Arts Stream,"Time Management, Disciplined","Python, Scikit-learn, Pandas, Model Evaluation",1Y2S,2.9,3.3,"Python, Scikit-learn, Pandas, Model Evaluation","Time Management, Disciplined",Data Science & Analytics,78,3,5,5,5,5,6,2,8,8,8,7,Aural,,,,,,
Male,Mullaitivu,Bio Stream,"Leadership, Strong Potential","Figma, Wireframing, Prototyping, Design Systems",1Y1S,3.7,3,"Figma, Wireframing, Prototyping, Design Systems","Leadership, Strong Potential",UI/UX Designer,50,4,2,3,4,2,2,7,2,5,9,9,Kinesthetic,,,,,,
Female,Batticaloa,Maths Stream,"Teamwork, Team-First Attitude","Flutter, Dart, Firebase, Bloc, Push Notifications",2Y1S,4.9,3,"Flutter, Dart, Firebase, Bloc, Push Notifications","Teamwork, Team-First Attitude",Mobile App Developer,85,2,3,4,3,4,8,4,5,7,5,5,Visual,,,,,,
Male,Ampara,Commerce Stream,"Communication, Warm Communicator","Kubernetes, Helm, Prometheus, GitOps, Bash",1Y2S,1.5,3.2,"Kubernetes, Helm, Prometheus, GitOps, Bash","Communication, Warm Communicator",DevOps / Cloud Engineer,72,1,1,1,1,1,5,10,10,10,10,10,Read/Write,,,,,,
Other,Trincomalee,Bio Stream,"Creativity, Original Thinker","AWS EC2, RDS, CloudWatch, Route53, Terraform",2Y2S,2.2,3.2,"AWS EC2, RDS, CloudWatch, Route53, Terraform","Creativity, Original Thinker",DevOps / Cloud Engineer,49,5,4,2,2,3,7,1,7,6,2,8,Kinesthetic,,,,,,
Male,Hambantota,Maths Stream,"Presentation Skills, Professional Delivery","Kali Linux, Nmap, Python, Penetration Testing",1Y1S,3,3.2,"Kali Linux, Nmap, Python, Penetration Testing","Presentation Skills, Professional Delivery",Cybersecurity / Network Engineer,98,3,5,5,5,5,10,3,1,3,7,4,Visual,,,,,,
Female,Nuwara Eliya,Technology Stream,"Emotional Intelligence, Emotionally Mature","PyTorch, OpenCV, TensorFlow, MLflow, FastAPI",2Y1S,4.4,3.3,"PyTorch, OpenCV, TensorFlow, MLflow, FastAPI","Emotional Intelligence, Emotionally Mature",AI / Machine Learning Engineer,62,1,3,3,4,1,4,4,3,1,6,3,Visual,,,,,,
Male,Matale,Arts Stream,"Problem Solving, Practical Solutions","Java, Spring Boot, Microservices, Docker, Git",1Y2S,1.9,3.2,"Java, Spring Boot, Microservices, Docker, Git","Problem Solving, Practical Solutions",DevOps / Cloud Engineer,80,4,2,4,3,4,6,6,8,5,4,1,Kinesthetic,,,,,,
Female,Colombo,Bio Stream,"Time Management, Always Meets Deadlines","MERN Stack, Redux, Docker, TypeScript, Git",2Y2S,2.6,3.2,"MERN Stack, Redux, Docker, TypeScript, Git","Time Management, Always Meets Deadlines",DevOps / Cloud Engineer,56,2,1,1,2,3,8,9,4,9,1,6,Aural,,,,,,
Male,Gampaha,Maths Stream,"Leadership, Natural Leader","SQL, Pandas, Power BI, Excel, Data Cleaning",1Y1S,1,3.3,"SQL, Pandas, Power BI, Excel, Data Cleaning","Leadership, Natural Leader",Data Science & Analytics,90,5,4,2,1,2,1,7,2,4,3,2,Mixed (Visual + Read/Write),,,,,,
Other,Kandy,Bio Stream,"Teamwork, Excellent Team Member","React.js, Bootstrap, Git, JavaScript, HTML/CSS",1Y2S,1.3,3,"React.js, Bootstrap, Git, JavaScript, HTML/CSS","Teamwork, Excellent Team Member",Frontend / Web Developer,45,3,5,5,5,5,5,2,5,8,8,7,Kinesthetic,,,,,,
Female,Galle,Commerce Stream,"Communication, Confident & Clear","Java, Spring Boot, Kafka, PostgreSQL, JUnit",2Y1S,2.1,3.3,"Java, Spring Boot, Kafka, PostgreSQL, JUnit","Communication, Confident & Clear",Data Science & Analytics,70,4,3,3,4,4,2,8,6,2,9,9,Visual,,,,,,
Male,Matara,Maths Stream,"Public Speaking, Powerful Presence","Figma, Adobe XD, User Testing, Accessibility",1Y1S,3.4,3,"Figma, Adobe XD, User Testing, Accessibility","Public Speaking, Powerful Presence",UI/UX Designer,93,1,1,1,3,1,9,5,9,7,5,5,Read/Write,,,,,,
Female,Kurunegala,Bio Stream,"Adaptability, Thrives in Change","C++, Python, Git, Linux, Algorithms",2Y2S,4,2.8,"C++, Python, Git, Linux, Algorithms","Adaptability, Thrives in Change",IT / Technology Generalist,54,2,2,4,1,2,3,10,10,10,10,10,Aural,,,,,,
Male,Ratnapura,Arts Stream,"Critical Thinking, Sharp Mind","AWS, Docker, Kubernetes, Terraform, Ansible",1Y2S,2.7,3.2,"AWS, Docker, Kubernetes, Terraform, Ansible","Critical Thinking, Sharp Mind",DevOps / Cloud Engineer,82,5,4,2,2,3,7,3,1,3,7,4,Visual,,,,,,
Female,Kegalle,Technology Stream,"Emotional Intelligence, Great People Skills","AWS VPC, Lambda, DynamoDB, API Gateway, CDK",1Y1S,3.9,3.2,"AWS VPC, Lambda, DynamoDB, API Gateway, CDK","Emotional Intelligence, Great People Skills",DevOps / Cloud Engineer,61,3,5,5,5,5,10,6,8,1,6,3,Kinesthetic,,,,,,
Male,Badulla,Commerce Stream,"Problem Solving, Fast & Accurate","Python, R, XGBoost, Feature Engineering, SQL",2Y1S,4.5,3.3,"Python, R, XGBoost, Feature Engineering, SQL","Problem Solving, Fast & Accurate",Data Science & Analytics,77,2,3,1,4,3,5,2,4,5,4,1,Visual,,,,,,
Other,Puttalam,Bio Stream,"Time Management, Super Productive","TensorFlow, PyTorch, Docker, AWS SageMaker",1Y2S,1.8,3.3,"TensorFlow, PyTorch, Docker, AWS SageMaker","Time Management, Super Productive",AI / Machine Learning Engineer,47,4,2,3,3,4,9,5,2,4,3,6,Kinesthetic,,,,,,
Male,Kalutara,Maths Stream,"Leadership, Born to Lead","Burp Suite, Wireshark, Python, OWASP Top 10",2Y2S,2.4,2.8,"Burp Suite, Wireshark, Python, OWASP Top 10","Leadership, Born to Lead",IT / Technology Generalist,86,1,1,4,2,2,3,1,7,8,2,2,Read/Write,,,,,,
Female,Monaragala,Arts Stream,"Teamwork, Unites People","React.js, Node.js, MongoDB, Express.js, Docker",1Y1S,3.2,3.2,"React.js, Node.js, MongoDB, Express.js, Docker","Teamwork, Unites People",DevOps / Cloud Engineer,59,5,4,2,1,1,1,8,5,2,1,8,Visual,,,,,,
Male,Anuradhapura,Bio Stream,"Communication, Master Communicator","Python, Django, Git, PostgreSQL, Celery",2Y1S,4.8,3.3,"Python, Django, Git, PostgreSQL, Celery","Communication, Master Communicator",Data Science & Analytics,75,3,5,4,5,5,6,4,3,9,8,7,Kinesthetic,,,,,,
Female,Polonnaruwa,Maths Stream,"Creativity, Highly Creative","Node.js, Express.js, MongoDB, Mongoose, JWT",1Y2S,2,3.2,"Node.js, Express.js, MongoDB, Mongoose, JWT","Creativity, Highly Creative",Software Engineer / Backend,42,4,3,1,4,4,4,9,9,6,9,9,Aural,,,,,,
Male,Jaffna,Bio Stream,"Presentation Skills, Outstanding","HTML5, CSS3, React.js, Tailwind CSS, Git",2Y1S,3.5,3,"HTML5, CSS3, React.js, Tailwind CSS, Git","Presentation Skills, Outstanding",Frontend / Web Developer,100,2,2,5,2,2,7,7,6,7,5,5,Visual,,,,,,
Female,Kilinochchi,Commerce Stream,"Emotional Intelligence, Exceptional","Python, Pandas, Scikit-learn, TensorFlow, Jupyter",1Y1S,4.2,3.3,"Python, Pandas, Scikit-learn, TensorFlow, Jupyter","Emotional Intelligence, Exceptional",AI / Machine Learning Engineer,68,1,1,3,3,3,2,10,10,10,10,10,Kinesthetic,,,,,,
Other,Mannar,Bio Stream,"Problem Solving, Brilliant","Figma, Prototyping, User Flows, Design Thinking",2Y2S,1.1,3,"Figma, Prototyping, User Flows, Design Thinking","Problem Solving, Brilliant",UI/UX Designer,83,5,4,2,1,1,8,6,8,1,6,3,Mixed (Kinesthetic + Visual),,,,,,
Male,Vavuniya,Maths Stream,"Time Management, Perfect","Flutter, Dart, Firebase Auth, GetX, Git",1Y2S,2.9,3,"Flutter, Dart, Firebase Auth, GetX, Git","Time Management, Perfect",Mobile App Developer,57,3,5,4,5,5,10,4,4,5,4,1,Visual,,,,,,
Female,Mullaitivu,Technology Stream,"Leadership, Inspirational","Docker, Kubernetes, Jenkins, Bash, Terraform",2Y1S,3.7,3.2,"Docker, Kubernetes, Jenkins, Bash, Terraform","Leadership, Inspirational",DevOps / Cloud Engineer,92,1,3,3,4,3,6,2,9,4,3,6,Read/Write,,,,,,
Male,Batticaloa,Arts Stream,"Teamwork, Legendary","AWS, Serverless, Lambda, S3, CloudFront",1Y1S,4.9,3.2,"AWS, Serverless, Lambda, S3, CloudFront","Teamwork, Legendary",DevOps / Cloud Engineer,64,4,1,1,1,1,1,7,3,8,2,2,Kinesthetic,,,,,,
Female,Ampara,Bio Stream,"Communication, Flawless","Python Scripting, Metasploit, Kali Linux, SIEM",2Y2S,1.5,2.8,"Python Scripting, Metasploit, Kali Linux, SIEM","Communication, Flawless",IT / Technology Generalist,79,2,2,5,2,4,4,8,2,2,1,8,Visual,,,,,,
Male,Trincomalee,Maths Stream,"Public Speaking, World Class","PyTorch, TensorFlow, Scikit-learn, FastAPI",4Y1S,2.2,3.3,"PyTorch, TensorFlow, Scikit-learn, FastAPI","Public Speaking, World Class",AI / Machine Learning Engineer,48,5,4,2,3,2,7,1,1,7,7,4,Aural,,,,,,
Female,Hambantota,Commerce Stream,"Adaptability, Unbreakable","Java, Spring Boot, MySQL, Git, REST APIs",1Y2S,3,3.3,"Java, Spring Boot, MySQL, Git, REST APIs","Adaptability, Unbreakable",Data Science & Analytics,73,3,5,4,5,5,8,5,7,9,9,7,Visual,,,,,,
Other,Nuwara Eliya,Bio Stream,"Critical Thinking, Genius","MERN Stack, Docker, Git, Redux, Postman",2Y1S,4.4,3.2,"MERN Stack, Docker, Git, Redux, Postman","Critical Thinking, Genius",DevOps / Cloud Engineer,95,4,3,3,4,4,3,3,5,3,8,9,Kinesthetic,,,,,,
Male,Matale,Maths Stream,"Emotional Intelligence, Saint Level","SQL, Power BI, Python, Statistics, Tableau",1Y1S,1.9,3.3,"SQL, Power BI, Python, Statistics, Tableau","Emotional Intelligence, Saint Level",Data Science & Analytics,88,1,2,1,3,3,5,9,6,6,5,5,Read/Write,,,,,,
Female,Colombo,Arts Stream,"Problem Solving, Changes World","React.js, Next.js, TypeScript, Vercel, Git",2Y2S,2.6,3,"React.js, Next.js, TypeScript, Vercel, Git","Problem Solving, Changes World",Frontend / Web Developer,41,2,1,5,2,2,2,10,10,10,10,10,Visual,,,,,,
Male,Colombo,Bio Stream,"Time Management, Controls Time","Java, Spring Boot, Hibernate, PostgreSQL, Maven",1Y2S,1,3.3,"Java, Spring Boot, Hibernate, PostgreSQL, Maven","Time Management, Controls Time",Data Science & Analytics,67,5,4,2,1,1,9,4,4,5,4,1,Kinesthetic,,,,,,
Female,Gampaha,Maths Stream,"Leadership, Iconic","Adobe XD, Figma, Framer, User Research",2Y1S,1.3,3,"Adobe XD, Figma, Framer, User Research","Leadership, Iconic",UI/UX Designer,99,3,5,3,5,5,10,8,9,4,3,6,Visual,,,,,,
Male,Kalutara,Bio Stream,"Teamwork, Eternal Bond","Python, FastAPI, Docker, PostgreSQL, Git",1Y1S,2.1,3.3,"Python, FastAPI, Docker, PostgreSQL, Git","Teamwork, Eternal Bond",Data Science & Analytics,52,2,2,4,4,3,7,7,3,8,2,2,Aural,,,,,,
Other,Kandy,Commerce Stream,"Communication, Divine Connection","Kubernetes, Docker, Helm, Prometheus, Linux",2Y2S,3.4,3.2,"Kubernetes, Docker, Helm, Prometheus, Linux","Communication, Divine Connection",DevOps / Cloud Engineer,84,4,3,1,3,1,3,3,6,2,1,8,Kinesthetic,,,,,,
Female,Matale,Technology Stream,"Teamwork, Galactic Sync","AWS EC2, VPC, IAM, CloudWatch, Route53",1Y2S,4,3.2,"AWS EC2, VPC, IAM, CloudWatch, Route53","Teamwork, Galactic Sync",DevOps / Cloud Engineer,76,1,1,5,2,4,8,2,1,7,7,4,Visual,,,,,,
Male,Nuwara Eliya,Bio Stream,"Communication, Crystal Clear Voice","TensorFlow, Keras, PyTorch, OpenCV, NLP",1Y1S,2.7,3.3,"TensorFlow, Keras, PyTorch, OpenCV, NLP","Communication, Crystal Clear Voice",AI / Machine Learning Engineer,63,5,4,3,1,2,1,5,7,1,6,3,Mixed (Visual + Kinesthetic),,,,,,
Female,Galle,Maths Stream,"Public Speaking, Inspires Crowds","Python, Scikit-learn, XGBoost, SQL, Model Deployment",2Y1S,3.9,3.3,"Python, Scikit-learn, XGBoost, SQL, Model Deployment","Public Speaking, Inspires Crowds",Data Science & Analytics,97,3,5,2,5,5,5,1,8,3,9,7,Read/Write,,,,,,
Male,Matara,Commerce Stream,"Adaptability, Shapeshifts to Any Situation","Kali Linux, Wireshark, Nmap, Python Scripting",1Y2S,4.5,2.8,"Kali Linux, Wireshark, Nmap, Python Scripting","Adaptability, Shapeshifts to Any Situation",IT / Technology Generalist,55,4,3,1,2,4,4,6,2,9,8,9,Kinesthetic,,,,,,
Female,Hambantota,Arts Stream,"Critical Thinking, Master Strategist","Flutter, Dart, Firebase, Bloc, App Publishing",2Y2S,1.8,3,"Flutter, Dart, Firebase, Bloc, App Publishing","Critical Thinking, Master Strategist",Mobile App Developer,89,2,2,4,1,3,6,9,5,6,5,5,Visual,,,,,,
Male,Jaffna,Bio Stream,"Emotional Intelligence, Heart of Gold","React.js, Node.js, Express.js, MongoDB, Redux",1Y1S,2.4,3,"React.js, Node.js, Express.js, MongoDB, Redux","Emotional Intelligence, Heart of Gold",Frontend / Web Developer,46,1,1,5,4,2,2,10,10,10,10,10,Aural,,,,,,
Other,Kilinochchi,Maths Stream,"Problem Solving, Breaks Any Barrier","Java, Python, Spring Boot, Git, Docker",2Y1S,3.2,3.2,"Java, Python, Spring Boot, Git, Docker","Problem Solving, Breaks Any Barrier",DevOps / Cloud Engineer,71,5,4,2,3,1,9,8,9,4,3,6,Visual,,,,,,
Male,Mannar,Bio Stream,"Time Management, Clock Commander","Node.js, NestJS, TypeScript, PostgreSQL, Docker",1Y2S,4.8,3.3,"Node.js, NestJS, TypeScript, PostgreSQL, Docker","Time Management, Clock Commander",Data Science & Analytics,94,3,5,3,5,4,10,1,3,8,2,2,Kinesthetic,,,,,,
Female,Vavuniya,Arts Stream,"Leadership, Commands Respect","React.js, Tailwind CSS, JavaScript, Git",2Y1S,2,3,"React.js, Tailwind CSS, JavaScript, Git","Leadership, Commands Respect",Frontend / Web Developer,58,1,3,4,2,1,8,3,6,2,1,8,Visual,,,,,,
Male,Mullaitivu,Commerce Stream,"Teamwork, Unites Every Team","SQL, Pandas, Power BI, Excel Advanced, Statistics",1Y1S,3.5,3.3,"SQL, Pandas, Power BI, Excel Advanced, Statistics","Teamwork, Unites Every Team",Data Science & Analytics,81,4,1,1,4,5,1,5,7,7,7,4,Read/Write,,,,,,
Female,Batticaloa,Bio Stream,"Communication, Mind-to-Mind Clarity","Figma, Wireframing, Prototyping, Accessibility",2Y2S,4.2,3,"Figma, Wireframing, Prototyping, Accessibility","Communication, Mind-to-Mind Clarity",UI/UX Designer,69,2,2,3,3,3,3,9,2,1,6,3,Kinesthetic,,,,,,
Male,Ampara,Maths Stream,"Creativity, Idea Generator","AWS, Docker, Kubernetes, Terraform, CI/CD",1Y2S,1.1,3.2,"AWS, Docker, Kubernetes, Terraform, CI/CD","Creativity, Idea Generator",DevOps / Cloud Engineer,38,5,4,5,1,2,6,4,5,6,4,1,Visual,,,,,,
Female,Trincomalee,Technology Stream,"Presentation Skills, Lights Up the Room","AWS Lambda, DynamoDB, API Gateway, CDK",2Y1S,2.9,3.2,"AWS Lambda, DynamoDB, API Gateway, CDK","Presentation Skills, Lights Up the Room",DevOps / Cloud Engineer,87,4,5,1,5,5,2,6,1,3,9,7,Visual,,,,,,
Other,Kurunegala,Bio Stream,"Emotional Intelligence, Soul Reader","PyTorch, TensorFlow, MLflow, Docker, FastAPI",1Y1S,3.7,3.3,"PyTorch, TensorFlow, MLflow, Docker, FastAPI","Emotional Intelligence, Soul Reader",AI / Machine Learning Engineer,53,3,3,4,2,3,9,2,8,9,8,9,Kinesthetic,,,,,,
Male,Puttalam,Maths Stream,"Problem Solving, Infinite Solver","C#, .NET Core, SQL Server, Git, Entity Framework",2Y2S,4.9,3.3,"C#, .NET Core, SQL Server, Git, Entity Framework","Problem Solving, Infinite Solver",Data Science & Analytics,96,1,2,2,3,4,4,7,4,5,5,5,Aural,,,,,,
Female,Anuradhapura,Commerce Stream,"Time Management, Precision Timing","Python, R, Scikit-learn, Feature Engineering",1Y2S,1.5,2.8,"Python, R, Scikit-learn, Feature Engineering","Time Management, Precision Timing",IT / Technology Generalist,60,2,1,5,4,2,7,10,10,10,10,10,Mixed (Aural + Visual),,,,,,
Male,Polonnaruwa,Arts Stream,"Leadership, Natural Force","MERN Stack, TypeScript, Docker, Git, Firebase",1Y1S,2.2,3.2,"MERN Stack, TypeScript, Docker, Git, Firebase","Leadership, Natural Force",DevOps / Cloud Engineer,74,5,4,1,1,1,5,1,3,8,2,2,Visual,,,,,,
Female,Badulla,Bio Stream,"Teamwork, Collaborative Spirit","Flutter, Dart, Firebase Auth, Riverpod, REST APIs",2Y1S,3,3,"Flutter, Dart, Firebase Auth, Riverpod, REST APIs","Teamwork, Collaborative Spirit",Mobile App Developer,43,3,5,3,5,5,10,5,6,2,1,8,Kinesthetic,,,,,,
Male,Monaragala,Maths Stream,"Communication, Clear & Compassionate","Python, Burp Suite, Kali Linux, Ethical Hacking",1Y2S,4.4,3.2,"Python, Burp Suite, Kali Linux, Ethical Hacking","Communication, Clear & Compassionate",Cybersecurity / Network Engineer,91,4,3,2,2,4,9,9,7,7,7,4,Read/Write,,,,,,
Other,Ratnapura,Bio Stream,"Public Speaking, Stage Dominator","Java, Spring Boot, Kafka, REST APIs, JUnit",2Y2S,1.9,3.2,"Java, Spring Boot, Kafka, REST APIs, JUnit","Public Speaking, Stage Dominator",Software Engineer / Backend,66,1,2,4,4,1,2,6,4,1,6,3,Visual,,,,,,
Female,Kegalle,Commerce Stream,"Adaptability, Learns Instantly","HTML5, CSS3, React.js, Bootstrap 5, Git",1Y1S,2.6,3,"HTML5, CSS3, React.js, Bootstrap 5, Git","Adaptability, Learns Instantly",Frontend / Web Developer,78,2,1,5,3,2,6,2,1,6,4,1,Kinesthetic,,,,,,
Male,Colombo,Maths Stream,"Critical Thinking, Precise Analyzer","Figma, Adobe XD, Design Systems, User Testing",2Y1S,1,3,"Figma, Adobe XD, Design Systems, User Testing","Critical Thinking, Precise Analyzer",UI/UX Designer,50,5,4,3,1,3,3,7,5,3,3,6,Aural,,,,,,
Female,Gampaha,Bio Stream,"Emotional Intelligence, Deep Listener","Wireshark, Nmap, Python, OWASP, Penetration Testing",1Y2S,1.3,3.2,"Wireshark, Nmap, Python, OWASP, Penetration Testing","Emotional Intelligence, Deep Listener",Cybersecurity / Network Engineer,85,3,5,1,5,5,8,3,2,5,9,7,Visual,,,,,,
Male,Kalutara,Technology Stream,"Problem Solving, Calm Problem Breaker","Java, Spring Boot, Microservices, Docker, Maven",2Y2S,2.1,3.2,"Java, Spring Boot, Microservices, Docker, Maven","Problem Solving, Calm Problem Breaker",DevOps / Cloud Engineer,72,2,3,4,2,3,1,4,8,9,8,9,Kinesthetic,,,,,,
Female,Kandy,Arts Stream,"Time Management, Plans With Perfection","Docker, Kubernetes, Jenkins, Terraform, Bash",1Y1S,3.4,3.2,"Docker, Kubernetes, Jenkins, Terraform, Bash","Time Management, Plans With Perfection",DevOps / Cloud Engineer,49,4,1,2,3,4,4,8,9,4,5,5,Visual,,,,,,
Male,Matale,Commerce Stream,"Leadership, Inspiring Guide","SQL, Python, Tableau, Power BI, Data Visualization",1Y2S,4,3.3,"SQL, Python, Tableau, Power BI, Data Visualization","Leadership, Inspiring Guide",Data Science & Analytics,98,1,2,5,1,1,7,10,10,10,10,10,Read/Write,,,,,,
Other,Nuwara Eliya,Bio Stream,"Teamwork, Universal Connector","AWS, CloudFormation, VPC, IAM, Security Groups",2Y1S,2.7,3.2,"AWS, CloudFormation, VPC, IAM, Security Groups","Teamwork, Universal Connector",DevOps / Cloud Engineer,62,5,4,3,4,2,5,5,6,2,1,8,Kinesthetic,,,,,,
Male,Galle,Maths Stream,"Communication, Warm Professionalism","TensorFlow, PyTorch, Scikit-learn, AWS SageMaker",1Y1S,3.9,3.3,"TensorFlow, PyTorch, Scikit-learn, AWS SageMaker","Communication, Warm Professionalism",AI / Machine Learning Engineer,80,3,5,2,5,5,10,7,7,7,7,4,Visual,,,,,,
Female,Matara,Bio Stream,"Creativity, Artistic Brain","React.js, Node.js, MongoDB, Express.js, Git",2Y2S,4.5,3,"React.js, Node.js, MongoDB, Express.js, Git","Creativity, Artistic Brain",Frontend / Web Developer,56,4,3,4,2,3,6,2,4,1,6,3,Aural,,,,,,
Male,Hambantota,Arts Stream,"Presentation Skills, Elite Speaker","Figma, Canva, Basic Wireframing, Prototyping, Color Theory, Free Icons",1Y2S,1.8,3,"Figma, Canva, Basic Wireframing, Prototyping, Color Theory","Presentation Skills, Elite Speaker",UI/UX Designer,90,2,2,1,4,2,3,8,5,6,4,1,Visual,,,,,,
Female,Jaffna,Technology Stream,"Emotional Intelligence, Heartfelt Understanding","Java, Python, VS Code, Git, GitHub, MySQL, Postman",1Y1S,2.4,3.3,"Java, Python, VS Code, Git, GitHub","Emotional Intelligence, Heartfelt Understanding",Data Science & Analytics,45,1,1,5,1,4,7,1,2,3,3,6,Kinesthetic,,,,,,
Female,Kilinochchi,Bio Stream,"Problem Solving, Rapid Resolution","Git, Docker Desktop, Basic Linux Commands, VS Code, GitHub",2Y1S,3.2,3.2,"Git, Docker Desktop, Basic Linux Commands, VS Code, GitHub","Problem Solving, Rapid Resolution",DevOps / Cloud Engineer,70,5,4,4,3,1,1,6,9,5,2,2,Mixed (Visual + Kinesthetic),,,,,,
Male,Mannar,Maths Stream,"Time Management, Always On Track","AWS Free Tier, S3, EC2, IAM Basics, AWS Console",1Y2S,4.8,3.2,"AWS Free Tier, S3, EC2, IAM Basics, AWS Console","Time Management, Always On Track",DevOps / Cloud Engineer,93,3,5,3,5,5,9,4,1,9,9,7,Visual,,,,,,
Female,Vavuniya,Commerce Stream,"Leadership, Quiet Authority","Python, Google Colab, Jupyter Notebook, Pandas, Matplotlib",2Y2S,2,3.3,"Python, Google Colab, Jupyter Notebook, Pandas, Matplotlib","Leadership, Quiet Authority",Data Science & Analytics,54,1,3,1,2,3,8,9,3,4,8,9,Read/Write,,,,,,
Male,Mullaitivu,Arts Stream,"Teamwork, Positive Contributor","Python, Pandas, Excel, Google Colab, Matplotlib, Jupyter",1Y1S,3.5,3.3,"Python, Pandas, Excel, Google Colab, Matplotlib","Teamwork, Positive Contributor",Data Science & Analytics,82,4,2,2,3,4,2,3,8,8,5,5,Kinesthetic,,,,,,
Female,Batticaloa,Bio Stream,"Communication, Friendly & Skilled","Flutter, Dart, Android Studio, Firebase Auth, VS Code",2Y1S,4.2,3,"Flutter, Dart, Android Studio, Firebase Auth, VS Code","Communication, Friendly & Skilled",Mobile App Developer,61,2,1,5,4,1,4,10,10,10,10,10,Aural,,,,,,
Male,Ampara,Maths Stream,"Public Speaking, Charismatic Presence","HTML, CSS, JavaScript, React.js, Node.js, MongoDB, Git",1Y2S,1.1,3,"HTML, CSS, JavaScript, React.js, Node.js","Public Speaking, Charismatic Presence",Frontend / Web Developer,77,5,4,4,1,2,5,7,7,7,7,4,Visual,,,,,,
Female,Trincomalee,Bio Stream,"Adaptability, Handles Anything","Java, Python, VS Code, Git, MySQL, Basic REST APIs",2Y1S,2.9,3.3,"Java, Python, VS Code, Git, MySQL","Adaptability, Handles Anything",Data Science & Analytics,47,3,5,3,5,5,10,2,4,1,6,3,Kinesthetic,,,,,,
Female,Kurunegala,Technology Stream,"Critical Thinking, Sharp Logic","Node.js, Express.js, MongoDB, Postman, VS Code",1Y1S,3.7,3.2,"Node.js, Express.js, MongoDB, Postman, VS Code","Critical Thinking, Sharp Logic",Software Engineer / Backend,86,4,2,2,3,1,8,4,5,6,4,1,Visual,,,,,,
Male,Puttalam,Commerce Stream,"Emotional Intelligence, Compassion Engine","HTML, CSS, JavaScript, React.js, Bootstrap, Git",2Y2S,4.9,3,"HTML, CSS, JavaScript, React.js, Bootstrap","Emotional Intelligence, Compassion Engine",Frontend / Web Developer,59,1,3,1,4,3,5,6,3,3,3,6,Read/Write,,,,,,
Male,Anuradhapura,Arts Stream,"Problem Solving, Always Finds a Path","SQL, Excel, Power BI (Basic), Google Sheets, Pandas",1Y2S,1.5,3.3,"SQL, Excel, Power BI (Basic), Google Sheets, Pandas","Problem Solving, Always Finds a Path",Data Science & Analytics,75,2,1,4,2,4,2,1,1,5,2,2,Kinesthetic,,,,,,
Female,Polonnaruwa,Bio Stream,"Time Management, Efficient Worker","Figma, Canva, Basic UI Design, Wireframing, Prototyping",2Y1S,2.2,3,"Figma, Canva, Basic UI Design, Wireframing, Prototyping","Time Management, Efficient Worker",UI/UX Designer,42,5,4,1,1,2,9,9,8,2,1,8,Visual,,,,,,
Male,Badulla,Maths Stream,"Leadership, Encouraging Mentor","Kali Linux Basics, Nmap, Wireshark, TryHackMe, Burp Suite Community",1Y1S,3,2.8,"Kali Linux Basics, Nmap, Wireshark, TryHackMe, Burp Suite Community","Leadership, Encouraging Mentor",IT / Technology Generalist,100,3,5,5,5,5,3,5,6,8,9,7,Visual,,,,,,
Female,Monaragala,Commerce Stream,"Teamwork, Trusted Collaborator","Git, Docker Desktop, Basic Bash, VS Code",2Y2S,4.4,3.2,"Git, Docker Desktop, Basic Bash, VS Code","Teamwork, Trusted Collaborator",DevOps / Cloud Engineer,68,2,3,3,3,2,6,8,2,4,8,9,Kinesthetic,,,,,,
